date,calls
2014-01-01,153
2014-01-02,233
2014-01-03,203
2014-01-04,192
2014-01-05,149
2014-01-06,232
2014-01-07,225
2014-01-08,191
2014-01-09,167
2014-01-10,178
2014-01-11,129
2014-01-12,131
2014-01-13,236
2014-01-14,169
2014-01-15,208
2014-01-16,207
2014-01-17,180
2014-01-18,119
2014-01-19,110
2014-01-20,198
2014-01-21,176
2014-01-22,157
2014-01-23,174
2014-01-24,170
2014-01-25,148
2014-01-26,132
2014-01-27,193
2014-01-28,172
2014-01-29,180
2014-01-30,148
2014-01-31,157
2014-02-01,138
2014-02-02,121
2014-02-03,190
2014-02-04,148
2014-02-05,135
2014-02-06,158
2014-02-07,172
2014-02-08,127
2014-02-09,104
2014-02-10,190
2014-02-11,165
2014-02-12,209
2014-02-13,156
2014-02-14,148
2014-02-15,109
2014-02-16,109
2014-02-17,301
2014-02-18,204
2014-02-19,153
2014-02-20,181
2014-02-21,146
2014-02-22,131
2014-02-23,109
2014-02-24,187
2014-02-25,26
2014-02-26,0
2014-02-27,0
2014-02-28,0
2014-03-01,0
2014-03-02,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-08,0
2014-03-09,0
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,0
2014-03-14,0
2014-03-15,0
2014-03-16,0
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,0
2014-03-21,0
2014-03-22,0
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,0
2014-03-28,0
2014-03-29,0
2014-03-30,0
2014-03-31,0
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-04,70
2014-04-05,115
2014-04-06,72
2014-04-07,155
2014-04-08,148
2014-04-09,171
2014-04-10,131
2014-04-11,168
2014-04-12,90
2014-04-13,121
2014-04-14,193
2014-04-15,131
2014-04-16,170
2014-04-17,131
2014-04-18,117
2014-04-19,102
2014-04-20,97
2014-04-21,160
2014-04-22,169
2014-04-23,148
2014-04-24,155
2014-04-25,147
2014-04-26,97
2014-04-27,107
2014-04-28,137
2014-04-29,136
2014-04-30,137
2014-05-01,129
2014-05-02,144
2014-05-03,111
2014-05-04,94
2014-05-05,157
2014-05-06,135
2014-05-07,106
2014-05-08,114
2014-05-09,119
2014-05-10,106
2014-05-11,75
2014-05-12,157
2014-05-13,111
2014-05-14,109
2014-05-15,109
2014-05-16,96
2014-05-17,69
2014-05-18,84
2014-05-19,131
2014-05-20,124
2014-05-21,134
2014-05-22,143
2014-05-23,185
2014-05-24,82
2014-05-25,94
2014-05-26,241
2014-05-27,228
2014-05-28,292
2014-05-29,327
2014-05-30,395
2014-05-31,201
2014-06-01,197
2014-06-02,366
2014-06-03,289
2014-06-04,299
2014-06-05,310
2014-06-06,346
2014-06-07,175
2014-06-08,212
2014-06-09,317
2014-06-10,278
2014-06-11,294
2014-06-12,230
2014-06-13,339
2014-06-14,173
2014-06-15,178
2014-06-16,320
2014-06-17,244
2014-06-18,275
2014-06-19,199
2014-06-20,218
2014-06-21,177
2014-06-22,160
2014-06-23,237
2014-06-24,247
2014-06-25,203
2014-06-26,193
2014-06-27,191
2014-06-28,124
2014-06-29,133
2014-06-30,228
2014-07-01,191
2014-07-02,187
2014-07-03,168
2014-07-04,166
2014-07-05,130
2014-07-06,98
2014-07-07,188
2014-07-08,120
2014-07-09,165
2014-07-10,118
2014-07-11,132
2014-07-12,122
2014-07-13,110
2014-07-14,190
2014-07-15,130
2014-07-16,136
2014-07-17,143
2014-07-18,141
2014-07-19,66
2014-07-20,116
2014-07-21,177
2014-07-22,135
2014-07-23,141
2014-07-24,144
2014-07-25,127
2014-07-26,112
2014-07-27,84
2014-07-28,158
2014-07-29,118
2014-07-30,138
2014-07-31,112
2014-08-01,113
2014-08-02,97
2014-08-03,90
2014-08-04,166
2014-08-05,129
2014-08-06,124
2014-08-07,147
2014-08-08,128
2014-08-09,101
2014-08-10,94
2014-08-11,151
2014-08-12,116
2014-08-13,107
2014-08-14,113
2014-08-15,107
2014-08-16,103
2014-08-17,88
2014-08-18,186
2014-08-19,135
2014-08-20,122
2014-08-21,98
2014-08-22,127
2014-08-23,78
2014-08-24,74
2014-08-25,142
2014-08-26,117
2014-08-27,107
2014-08-28,138
2014-08-29,119
2014-08-30,81
2014-08-31,101
2014-09-01,148
2014-09-02,113
2014-09-03,111
2014-09-04,111
2014-09-05,105
2014-09-06,77
2014-09-07,54
2014-09-08,127
2014-09-09,105
2014-09-10,116
2014-09-11,114
2014-09-12,107
2014-09-13,86
2014-09-14,88
2014-09-15,126
2014-09-16,90
2014-09-17,125
2014-09-18,112
2014-09-19,101
2014-09-20,79
2014-09-21,84
2014-09-22,113
2014-09-23,106
2014-09-24,110
2014-09-25,99
2014-09-26,100
2014-09-27,77
2014-09-28,70
2014-09-29,143
2014-09-30,89
2014-10-01,128
2014-10-02,110
2014-10-03,83
2014-10-04,96
2014-10-05,65
2014-10-06,112
2014-10-07,103
2014-10-08,98
2014-10-09,136
2014-10-10,96
2014-10-11,65
2014-10-12,102
2014-10-13,136
2014-10-14,110
2014-10-15,124
2014-10-16,124
2014-10-17,123
2014-10-18,68
2014-10-19,68
2014-10-20,141
2014-10-21,116
2014-10-22,126
2014-10-23,95
2014-10-24,112
2014-10-25,109
2014-10-26,66
2014-10-27,127
2014-10-28,148
2014-10-29,137
2014-10-30,138
2014-10-31,124
2014-11-01,71
2014-11-02,122
2014-11-03,144
2014-11-04,140
2014-11-05,133
2014-11-06,114
2014-11-07,113
2014-11-08,83
2014-11-09,91
2014-11-10,119
2014-11-11,124
2014-11-12,103
2014-11-13,111
2014-11-14,87
2014-11-15,95
2014-11-16,87
2014-11-17,120
2014-11-18,85
2014-11-19,168
2014-11-20,184
2014-11-21,143
2014-11-22,121
2014-11-23,142
2014-11-24,221
2014-11-25,168
2014-11-26,171
2014-11-27,167
2014-11-28,141
2014-11-29,98
2014-11-30,123
2014-12-01,176
2014-12-02,176
2014-12-03,169
2014-12-04,131
2014-12-05,159
2014-12-06,103
2014-12-07,103
2014-12-08,185
2014-12-09,162
2014-12-10,159
2014-12-11,153
2014-12-12,148
2014-12-13,110
2014-12-14,121
2014-12-15,166
2014-12-16,176
2014-12-17,135
2014-12-18,124
2014-12-19,120
2014-12-20,114
2014-12-21,111
2014-12-22,178
2014-12-23,141
2014-12-24,82
2014-12-25,110
2014-12-26,136
2014-12-27,89
2014-12-28,115
2014-12-29,151
2014-12-30,109
2014-12-31,101
2015-01-01,96
2015-01-02,129
2015-01-03,97
2015-01-04,90
2015-01-05,162
2015-01-06,129
2015-01-07,117
2015-01-08,129
2015-01-09,103
2015-01-10,88
2015-01-11,104
2015-01-12,116
2015-01-13,109
2015-01-14,113
2015-01-15,119
2015-01-16,119
2015-01-17,95
2015-01-18,87
2015-01-19,169
2015-01-20,97
2015-01-21,97
2015-01-22,92
2015-01-23,95
2015-01-24,109
2015-01-25,64
2015-01-26,122
2015-01-27,122
2015-01-28,115
2015-01-29,103
2015-01-30,95
2015-01-31,78
2015-02-01,116
2015-02-02,133
2015-02-03,168
2015-02-04,140
2015-02-05,135
2015-02-06,102
2015-02-07,92
2015-02-08,82
2015-02-09,122
2015-02-10,112
2015-02-11,124
2015-02-12,119
2015-02-13,122
2015-02-14,107
2015-02-15,105
2015-02-16,154
2015-02-17,151
2015-02-18,164
2015-02-19,140
2015-02-20,117
2015-02-21,154
2015-02-22,209
2015-02-23,266
2015-02-24,209
2015-02-25,232
2015-02-26,163
2015-02-27,142
2015-02-28,177
2015-03-01,195
2015-03-02,232
2015-03-03,237
2015-03-04,190
2015-03-05,202
2015-03-06,226
2015-03-07,234
2015-03-08,213
2015-03-09,304
2015-03-10,257
2015-03-11,212
2015-03-12,267
2015-03-13,238
2015-03-14,232
2015-03-15,168
2015-03-16,266
2015-03-17,264
2015-03-18,252
2015-03-19,244
2015-03-20,224
2015-03-21,242
2015-03-22,205
2015-03-23,280
2015-03-24,272
2015-03-25,254
2015-03-26,151
2015-03-27,210
2015-03-28,164
2015-03-29,179
2015-03-30,264
2015-03-31,158
2015-04-01,226
2015-04-02,211
2015-04-03,200
2015-04-04,192
2015-04-05,191
2015-04-06,287
2015-04-07,252
2015-04-08,212
2015-04-09,192
2015-04-10,248
2015-04-11,184
2015-04-12,151
2015-04-13,246
2015-04-14,203
2015-04-15,216
2015-04-16,218
2015-04-17,202
2015-04-18,214
2015-04-19,176
2015-04-20,258
2015-04-21,245
2015-04-22,244
2015-04-23,178
2015-04-24,240
2015-04-25,212
2015-04-26,204
2015-04-27,237
2015-04-28,206
2015-04-29,251
2015-04-30,173
2015-05-01,177
2015-05-02,194
2015-05-03,168
2015-05-04,242
2015-05-05,218
2015-05-06,199
2015-05-07,166
2015-05-08,163
2015-05-09,132
2015-05-10,176
2015-05-11,207
2015-05-12,228
2015-05-13,219
2015-05-14,215
2015-05-15,206
2015-05-16,190
2015-05-17,165
2015-05-18,237
2015-05-19,214
2015-05-20,220
2015-05-21,188
2015-05-22,185
2015-05-23,184
2015-05-24,165
2015-05-25,245
2015-05-26,221
2015-05-27,229
2015-05-28,182
2015-05-29,186
2015-05-30,166
2015-05-31,153
2015-06-01,190
2015-06-02,180
2015-06-03,197
2015-06-04,173
2015-06-05,204
2015-06-06,171
2015-06-07,184
2015-06-08,228
2015-06-09,195
2015-06-10,184
2015-06-11,176
2015-06-12,172
2015-06-13,136
2015-06-14,148
2015-06-15,207
2015-06-16,195
2015-06-17,182
2015-06-18,137
2015-06-19,164
2015-06-20,184
2015-06-21,150
2015-06-22,183
2015-06-23,172
2015-06-24,185
2015-06-25,192
2015-06-26,160
2015-06-27,139
2015-06-28,125
2015-06-29,188
2015-06-30,186
2015-07-01,182
2015-07-02,147
2015-07-03,162
2015-07-04,134
2015-07-05,127
2015-07-06,179
2015-07-07,179
2015-07-08,167
2015-07-09,160
2015-07-10,154
2015-07-11,151
2015-07-12,149
2015-07-13,211
2015-07-14,147
2015-07-15,161
2015-07-16,178
2015-07-17,182
2015-07-18,157
2015-07-19,133
2015-07-20,205
2015-07-21,189
2015-07-22,193
2015-07-23,215
2015-07-24,218
2015-07-25,194
2015-07-26,205
2015-07-27,251
2015-07-28,224
2015-07-29,242
2015-07-30,248
2015-07-31,222
2015-08-01,234
2015-08-02,176
2015-08-03,267
2015-08-04,248
2015-08-05,260
2015-08-06,260
2015-08-07,263
2015-08-08,213
2015-08-09,204
2015-08-10,317
2015-08-11,354
2015-08-12,324
2015-08-13,299
2015-08-14,267
2015-08-15,263
2015-08-16,244
2015-08-17,331
2015-08-18,308
2015-08-19,307
2015-08-20,249
2015-08-21,291
2015-08-22,228
2015-08-23,244
2015-08-24,324
2015-08-25,299
2015-08-26,295
2015-08-27,325
2015-08-28,229
2015-08-29,250
2015-08-30,250
2015-08-31,360
2015-09-01,302
2015-09-02,292
2015-09-03,286
2015-09-04,242
2015-09-05,264
2015-09-06,245
2015-09-07,230
2015-09-08,307
2015-09-09,322
2015-09-10,293
2015-09-11,252
2015-09-12,244
2015-09-13,277
2015-09-14,318
2015-09-15,352
2015-09-16,310
2015-09-17,319
2015-09-18,326
2015-09-19,308
2015-09-20,268
2015-09-21,367
2015-09-22,337
2015-09-23,335
2015-09-24,282
2015-09-25,238
2015-09-26,194
2015-09-27,214
2015-09-28,248
2015-09-29,257
2015-09-30,291
2015-10-01,276
2015-10-02,292
2015-10-03,246
2015-10-04,239
2015-10-05,274
2015-10-06,276
2015-10-07,257
2015-10-08,243
2015-10-09,279
2015-10-10,235
2015-10-11,213
2015-10-12,246
2015-10-13,274
2015-10-14,312
2015-10-15,286
2015-10-16,280
2015-10-17,268
2015-10-18,194
2015-10-19,286
2015-10-20,272
2015-10-21,313
2015-10-22,281
2015-10-23,274
2015-10-24,228
2015-10-25,186
2015-10-26,315
2015-10-27,279
2015-10-28,305
2015-10-29,295
2015-10-30,254
2015-10-31,197
2015-11-01,206
2015-11-02,205
2015-11-03,306
2015-11-04,298
2015-11-05,278
2015-11-06,239
2015-11-07,194
2015-11-08,164
2015-11-09,310
2015-11-10,261
2015-11-11,293
2015-11-12,298
2015-11-13,244
2015-11-14,275
2015-11-15,328
2015-11-16,416
2015-11-17,440
2015-11-18,451
2015-11-19,380
2015-11-20,400
2015-11-21,332
2015-11-22,276
2015-11-23,429
2015-11-24,399
2015-11-25,400
2015-11-26,403
2015-11-27,456
2015-11-28,402
2015-11-29,414
2015-11-30,468
2015-12-01,449
2015-12-02,472
2015-12-03,507
2015-12-04,435
2015-12-05,278
2015-12-06,330
2015-12-07,562
2015-12-08,479
2015-12-09,407
2015-12-10,425
2015-12-11,461
2015-12-12,429
2015-12-13,417
2015-12-14,477
2015-12-15,484
2015-12-16,556
2015-12-17,498
2015-12-18,574
2015-12-19,316
2015-12-20,324
2015-12-21,552
2015-12-22,477
2015-12-23,315
2015-12-24,372
2015-12-25,437
2015-12-26,453
2015-12-27,444
2015-12-28,370
2015-12-29,538
2015-12-30,431
2015-12-31,292
2016-01-01,323
2016-01-02,290
2016-01-03,278
2016-01-04,443
2016-01-05,437
2016-01-06,436
