date,calls
2020-01-01,253
2020-01-02,283
2020-01-03,257
2020-01-04,234
2020-01-05,259
2020-01-06,273
2020-01-07,232
2020-01-08,267
2020-01-09,278
2020-01-10,267
2020-01-11,280
2020-01-12,240
2020-01-13,286
2020-01-14,199
2020-01-15,288
2020-01-16,257
2020-01-17,236
2020-01-18,225
2020-01-19,245
2020-01-20,304
2020-01-21,258
2020-01-22,305
2020-01-23,330
2020-01-24,259
2020-01-25,253
2020-01-26,281
2020-01-27,334
2020-01-28,301
2020-01-29,245
2020-01-30,252
2020-01-31,273
2020-02-01,246
2020-02-02,240
2020-02-03,344
2020-02-04,268
2020-02-05,288
2020-02-06,276
2020-02-07,285
2020-02-08,242
2020-02-09,244
2020-02-10,312
2020-02-11,278
2020-02-12,323
2020-02-13,295
2020-02-14,269
2020-02-15,258
2020-02-16,275
2020-02-17,330
2020-02-18,296
2020-02-19,322
2020-02-20,276
2020-02-21,290
2020-02-22,266
2020-02-23,260
2020-02-24,326
2020-02-25,290
2020-02-26,333
2020-02-27,208
2020-02-28,309
2020-02-29,245
2020-03-01,201
2020-03-02,333
2020-03-03,282
2020-03-04,268
2020-03-05,266
2020-03-06,273
2020-03-07,288
2020-03-08,263
2020-03-09,386
2020-03-10,338
2020-03-11,336
2020-03-12,291
2020-03-13,348
2020-03-14,290
2020-03-15,310
2020-03-16,362
2020-03-17,340
2020-03-18,304
2020-03-19,296
2020-03-20,295
2020-03-21,280
2020-03-22,277
2020-03-23,357
2020-03-24,366
2020-03-25,358
2020-03-26,310
2020-03-27,304
2020-03-28,328
2020-03-29,314
2020-03-30,378
2020-03-31,332
2020-04-01,345
2020-04-02,313
2020-04-03,410
2020-04-04,323
2020-04-05,326
2020-04-06,426
2020-04-07,190
2020-04-08,337
2020-04-09,306
2020-04-10,350
2020-04-11,259
2020-04-12,295
2020-04-13,305
2020-04-14,314
2020-04-15,306
2020-04-16,267
2020-04-17,332
2020-04-18,332
2020-04-19,335
2020-04-20,501
2020-04-21,392
2020-04-22,423
2020-04-23,321
2020-04-24,374
2020-04-25,333
2020-04-26,352
2020-04-27,439
2020-04-28,374
2020-04-29,344
2020-04-30,378
2020-05-01,387
2020-05-02,344
2020-05-03,334
2020-05-04,431
2020-05-05,346
2020-05-06,351
2020-05-07,418
2020-05-08,341
2020-05-09,277
2020-05-10,305
2020-05-11,417
2020-05-12,357
2020-05-13,327
2020-05-14,294
2020-05-15,439
2020-05-16,332
2020-05-17,412
2020-05-18,473
2020-05-19,422
2020-05-20,428
2020-05-21,434
2020-05-22,366
2020-05-23,364
2020-05-24,397
2020-05-25,437
2020-05-26,351
2020-05-27,353
2020-05-28,337
2020-05-29,383
2020-05-30,378
2020-05-31,359
2020-06-01,428
2020-06-02,350
2020-06-03,415
2020-06-04,319
2020-06-05,343
2020-06-06,391
2020-06-07,331
2020-06-08,398
2020-06-09,327
2020-06-10,288
2020-06-11,347
2020-06-12,340
2020-06-13,334
2020-06-14,287
2020-06-15,311
2020-06-16,316
2020-06-17,339
2020-06-18,347
2020-06-19,357
2020-06-20,357
2020-06-21,324
2020-06-22,375
2020-06-23,352
2020-06-24,402
2020-06-25,309
2020-06-26,304
2020-06-27,206
2020-06-28,360
2020-06-29,382
2020-06-30,331
2020-07-01,213
2020-07-02,256
2020-07-03,238
2020-07-04,312
2020-07-05,293
2020-07-06,342
2020-07-07,277
2020-07-08,299
2020-07-09,309
2020-07-10,278
2020-07-11,351
2020-07-12,302
2020-07-13,363
2020-07-14,288
2020-07-15,322
2020-07-16,315
2020-07-17,308
2020-07-18,335
2020-07-19,254
2020-07-20,289
2020-07-21,296
2020-07-22,273
2020-07-23,274
2020-07-24,300
2020-07-25,331
2020-07-26,348
2020-07-27,357
2020-07-28,291
2020-07-29,264
2020-07-30,284
2020-07-31,243
2020-08-01,270
2020-08-02,228
2020-08-03,314
2020-08-04,286
2020-08-05,195
2020-08-06,240
2020-08-07,250
2020-08-08,255
2020-08-09,241
2020-08-10,367
2020-08-11,285
2020-08-12,267
2020-08-13,265
2020-08-14,289
2020-08-15,309
2020-08-16,234
2020-08-17,287
2020-08-18,221
2020-08-19,252
2020-08-20,277
2020-08-21,213
2020-08-22,236
2020-08-23,211
2020-08-24,171
2020-08-25,192
2020-08-26,167
2020-08-27,251
2020-08-28,215
2020-08-29,288
2020-08-30,261
2020-08-31,309
2020-09-01,220
2020-09-02,244
2020-09-03,227
2020-09-04,222
2020-09-05,274
2020-09-06,175
2020-09-07,290
2020-09-08,268
2020-09-09,246
2020-09-10,239
2020-09-11,239
2020-09-12,235
2020-09-13,238
2020-09-14,307
2020-09-15,277
2020-09-16,252
2020-09-17,265
2020-09-18,263
2020-09-19,272
2020-09-20,236
2020-09-21,270
2020-09-22,241
2020-09-23,221
2020-09-24,249
2020-09-25,219
2020-09-26,275
2020-09-27,229
2020-09-28,262
2020-09-29,263
2020-09-30,277
2020-10-01,266
2020-10-02,237
2020-10-03,240
2020-10-04,225
2020-10-05,319
2020-10-06,178
2020-10-07,159
2020-10-08,229
2020-10-09,184
2020-10-10,199
2020-10-11,224
2020-10-12,234
2020-10-13,269
2020-10-14,265
2020-10-15,243
2020-10-16,236
2020-10-17,252
2020-10-18,238
2020-10-19,242
2020-10-20,244
2020-10-21,231
2020-10-22,220
2020-10-23,238
2020-10-24,258
2020-10-25,228
2020-10-26,250
2020-10-27,251
2020-10-28,224
2020-10-29,227
2020-10-30,218
2020-10-31,228
2020-11-01,224
2020-11-02,251
2020-11-03,240
2020-11-04,252
2020-11-05,247
2020-11-06,240
2020-11-07,210
2020-11-08,194
2020-11-09,221
2020-11-10,215
2020-11-11,194
2020-11-12,250
2020-11-13,202
2020-11-14,254
2020-11-15,253
2020-11-16,295
2020-11-17,230
2020-11-18,310
2020-11-19,197
2020-11-20,241
2020-11-21,250
2020-11-22,201
2020-11-23,256
2020-11-24,244
2020-11-25,306
2020-11-26,261
2020-11-27,261
2020-11-28,263
2020-11-29,243
2020-11-30,338
2020-12-01,260
2020-12-02,265
2020-12-03,238
